index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-9972b025-618c-bc98-61a5-ebdc029fe774,545.23.06,Tesla T4,1325021037036,Disabled,Enabled
1,GPU-98668f0a-5c23-5580-397b-5c565d825ce3,545.23.06,Tesla T4,1325021052197,Disabled,Enabled
2,GPU-4d217064-d9ea-60eb-bc29-683680dc74b0,545.23.06,Tesla T4,1325021037537,Disabled,Enabled
3,GPU-588476ef-fb04-8e0e-5b6c-7bb976db90cc,545.23.06,Tesla T4,1325021051866,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
3,100,15360,13731,1198,2023/11/10 11:27:29.131
0,75,15360,12987,1942,2023/11/10 11:27:59.267
1,78,15360,12987,1942,2023/11/10 11:27:59.271
2,79,15360,12997,1932,2023/11/10 11:27:59.281
3,25,15360,13731,1198,2023/11/10 11:27:59.284
0,100,15360,12987,1942,2023/11/10 11:28:29.380
1,100,15360,12987,1942,2023/11/10 11:28:29.391
2,100,15360,12997,1932,2023/11/10 11:28:29.396
3,100,15360,13731,1198,2023/11/10 11:28:29.398
0,24,15360,12987,1942,2023/11/10 11:28:59.759
1,0,15360,12987,1942,2023/11/10 11:28:59.760
2,27,15360,12997,1932,2023/11/10 11:28:59.762
3,74,15360,13731,1198,2023/11/10 11:28:59.763
0,100,15360,12987,1942,2023/11/10 11:29:29.894
1,100,15360,12987,1942,2023/11/10 11:29:29.896
2,100,15360,12997,1932,2023/11/10 11:29:29.898
3,100,15360,13731,1198,2023/11/10 11:29:29.900
0,99,15360,12987,1942,2023/11/10 11:30:00.010
1,100,15360,12987,1942,2023/11/10 11:30:00.013
2,100,15360,13731,1198,2023/11/10 11:30:00.016
3,100,15360,13731,1198,2023/11/10 11:30:00.021
0,100,15360,12987,1942,2023/11/10 11:30:30.268
1,100,15360,12987,1942,2023/11/10 11:30:30.270
2,100,15360,13731,1198,2023/11/10 11:30:30.274
3,99,15360,13731,1198,2023/11/10 11:30:30.276
0,90,15360,12987,1942,2023/11/10 11:31:00.387
1,46,15360,12987,1942,2023/11/10 11:31:00.388
2,85,15360,13731,1198,2023/11/10 11:31:00.390
3,32,15360,13731,1198,2023/11/10 11:31:00.391
0,100,15360,12987,1942,2023/11/10 11:31:30.507
1,100,15360,12987,1942,2023/11/10 11:31:30.511
2,100,15360,13731,1198,2023/11/10 11:31:30.515
3,100,15360,13731,1198,2023/11/10 11:31:30.518
0,0,15360,12987,1942,2023/11/10 11:32:00.640
1,27,15360,12987,1942,2023/11/10 11:32:00.642
2,2,15360,13731,1198,2023/11/10 11:32:00.645
3,52,15360,13731,1198,2023/11/10 11:32:00.648
0,71,15360,12987,1942,2023/11/10 11:32:30.821
1,100,15360,13721,1208,2023/11/10 11:32:30.824
2,75,15360,13731,1198,2023/11/10 11:32:30.827
3,100,15360,13731,1198,2023/11/10 11:32:30.830
0,11,15360,12987,1942,2023/11/10 11:33:01.273
1,52,15360,13721,1208,2023/11/10 11:33:01.276
2,22,15360,13731,1198,2023/11/10 11:33:01.278
3,72,15360,13731,1198,2023/11/10 11:33:01.283
0,64,15360,12987,1942,2023/11/10 11:33:31.371
1,100,15360,13721,1208,2023/11/10 11:33:31.373
2,71,15360,13731,1198,2023/11/10 11:33:31.374
3,100,15360,13731,1198,2023/11/10 11:33:31.376
0,100,15360,12987,1942,2023/11/10 11:34:01.487
1,100,15360,13721,1208,2023/11/10 11:34:01.490
2,100,15360,13731,1198,2023/11/10 11:34:01.494
3,100,15360,13731,1198,2023/11/10 11:34:01.496
0,10,15360,12987,1942,2023/11/10 11:34:31.606
1,59,15360,13721,1208,2023/11/10 11:34:31.612
2,17,15360,13731,1198,2023/11/10 11:34:31.616
3,68,15360,13731,1198,2023/11/10 11:34:31.619
0,11,15360,12987,1942,2023/11/10 11:35:01.734
1,0,15360,13721,1208,2023/11/10 11:35:01.737
2,24,15360,13731,1198,2023/11/10 11:35:01.739
3,0,15360,13731,1198,2023/11/10 11:35:01.742
0,100,15360,12987,1942,2023/11/10 11:35:31.953
1,100,15360,13721,1208,2023/11/10 11:35:31.957
2,100,15360,13731,1198,2023/11/10 11:35:31.962
3,100,15360,13731,1198,2023/11/10 11:35:31.966
0,100,15360,12987,1942,2023/11/10 11:36:02.451
1,100,15360,13721,1208,2023/11/10 11:36:02.461
2,100,15360,13731,1198,2023/11/10 11:36:02.467
3,100,15360,13731,1198,2023/11/10 11:36:02.472
0,100,15360,12987,1942,2023/11/10 11:36:32.586
1,100,15360,13721,1208,2023/11/10 11:36:32.589
2,100,15360,13731,1198,2023/11/10 11:36:32.591
3,100,15360,13731,1198,2023/11/10 11:36:32.594
0,100,15360,12987,1942,2023/11/10 11:37:02.708
1,79,15360,13721,1208,2023/11/10 11:37:02.710
2,100,15360,13731,1198,2023/11/10 11:37:02.713
3,89,15360,13731,1198,2023/11/10 11:37:02.716
0,6,15360,12987,1942,2023/11/10 11:37:32.833
1,63,15360,13721,1208,2023/11/10 11:37:32.836
2,8,15360,13731,1198,2023/11/10 11:37:32.838
3,70,15360,13731,1198,2023/11/10 11:37:32.843
0,100,15360,12987,1942,2023/11/10 11:38:02.959
1,57,15360,13721,1208,2023/11/10 11:38:02.962
2,99,15360,13731,1198,2023/11/10 11:38:02.964
3,63,15360,13731,1198,2023/11/10 11:38:02.967
0,61,15360,12987,1942,2023/11/10 11:38:33.071
1,0,15360,13721,1208,2023/11/10 11:38:33.072
2,0,15360,13731,1198,2023/11/10 11:38:33.074
3,5,15360,13731,1198,2023/11/10 11:38:33.075
0,100,15360,12987,1942,2023/11/10 11:39:03.182
1,100,15360,13721,1208,2023/11/10 11:39:03.184
2,100,15360,13731,1198,2023/11/10 11:39:03.186
3,100,15360,13731,1198,2023/11/10 11:39:03.189
0,100,15360,12987,1942,2023/11/10 11:39:33.300
1,75,15360,13721,1208,2023/11/10 11:39:33.304
2,100,15360,13731,1198,2023/11/10 11:39:33.307
3,99,15360,13731,1198,2023/11/10 11:39:33.310
0,0,15360,12987,1942,2023/11/10 11:40:03.419
1,0,15360,13721,1208,2023/11/10 11:40:03.420
2,0,15360,13731,1198,2023/11/10 11:40:03.422
3,0,15360,13731,1198,2023/11/10 11:40:03.425
0,100,15360,12987,1942,2023/11/10 11:40:33.553
1,100,15360,13721,1208,2023/11/10 11:40:33.556
2,100,15360,13731,1198,2023/11/10 11:40:33.558
3,100,15360,13731,1198,2023/11/10 11:40:33.561
0,100,15360,12987,1942,2023/11/10 11:41:03.674
1,77,15360,13721,1208,2023/11/10 11:41:03.677
2,99,15360,13731,1198,2023/11/10 11:41:03.680
3,74,15360,13731,1198,2023/11/10 11:41:03.684
0,100,15360,12987,1942,2023/11/10 11:41:33.778
1,99,15360,13721,1208,2023/11/10 11:41:33.781
2,100,15360,13731,1198,2023/11/10 11:41:33.784
3,99,15360,13731,1198,2023/11/10 11:41:33.787
0,28,15360,12987,1942,2023/11/10 11:42:03.899
1,2,15360,13721,1208,2023/11/10 11:42:03.902
2,26,15360,13731,1198,2023/11/10 11:42:03.904
3,1,15360,13731,1198,2023/11/10 11:42:03.908
0,100,15360,12987,1942,2023/11/10 11:42:34.020
1,100,15360,13721,1208,2023/11/10 11:42:34.021
2,100,15360,13731,1198,2023/11/10 11:42:34.023
3,100,15360,13731,1198,2023/11/10 11:42:34.024
0,99,15360,12987,1942,2023/11/10 11:43:04.112
1,99,15360,13721,1208,2023/11/10 11:43:04.116
2,100,15360,13731,1198,2023/11/10 11:43:04.119
3,100,15360,13731,1198,2023/11/10 11:43:04.122
0,26,15360,12987,1942,2023/11/10 11:43:34.233
1,1,15360,13721,1208,2023/11/10 11:43:34.239
2,14,15360,13731,1198,2023/11/10 11:43:34.241
3,0,15360,13731,1198,2023/11/10 11:43:34.244
0,0,15360,12987,1942,2023/11/10 11:44:04.362
1,75,15360,13721,1208,2023/11/10 11:44:04.364
2,80,15360,13731,1198,2023/11/10 11:44:04.368
3,68,15360,13731,1198,2023/11/10 11:44:04.372
0,26,15360,12987,1942,2023/11/10 11:44:34.487
1,37,15360,13721,1208,2023/11/10 11:44:34.489
2,50,15360,13731,1198,2023/11/10 11:44:34.490
3,57,15360,13731,1198,2023/11/10 11:44:34.491
0,100,15360,12987,1942,2023/11/10 11:45:04.602
1,100,15360,13721,1208,2023/11/10 11:45:04.604
2,100,15360,13731,1198,2023/11/10 11:45:04.607
3,100,15360,13731,1198,2023/11/10 11:45:04.609
0,99,15360,12987,1942,2023/11/10 11:45:34.704
1,99,15360,13721,1208,2023/11/10 11:45:34.706
2,99,15360,13731,1198,2023/11/10 11:45:34.710
3,99,15360,13731,1198,2023/11/10 11:45:34.712
0,41,15360,12987,1942,2023/11/10 11:46:04.823
1,44,15360,13721,1208,2023/11/10 11:46:04.825
2,64,15360,13731,1198,2023/11/10 11:46:04.826
3,69,15360,13731,1198,2023/11/10 11:46:04.828
0,100,15360,12987,1942,2023/11/10 11:46:34.938
1,100,15360,13721,1208,2023/11/10 11:46:34.940
2,100,15360,13731,1198,2023/11/10 11:46:34.942
3,100,15360,13731,1198,2023/11/10 11:46:34.944
0,82,15360,12987,1942,2023/11/10 11:47:05.055
1,77,15360,13721,1208,2023/11/10 11:47:05.058
2,69,15360,13731,1198,2023/11/10 11:47:05.060
3,60,15360,13731,1198,2023/11/10 11:47:05.063
0,100,15360,12987,1942,2023/11/10 11:47:35.195
1,100,15360,13721,1208,2023/11/10 11:47:35.198
2,100,15360,13731,1198,2023/11/10 11:47:35.201
3,100,15360,13731,1198,2023/11/10 11:47:35.205
0,25,15360,12987,1942,2023/11/10 11:48:05.325
1,15,15360,13721,1208,2023/11/10 11:48:05.328
2,100,15360,13731,1198,2023/11/10 11:48:05.330
3,97,15360,13731,1198,2023/11/10 11:48:05.335
0,59,15360,12987,1942,2023/11/10 11:48:35.443
1,43,15360,13721,1208,2023/11/10 11:48:35.445
2,83,15360,13731,1198,2023/11/10 11:48:35.446
3,76,15360,13731,1198,2023/11/10 11:48:35.447
0,100,15360,12987,1942,2023/11/10 11:49:05.562
1,100,15360,13721,1208,2023/11/10 11:49:05.565
2,100,15360,13731,1198,2023/11/10 11:49:05.567
3,100,15360,13731,1198,2023/11/10 11:49:05.570
0,0,15360,12987,1942,2023/11/10 11:49:35.683
1,0,15360,13721,1208,2023/11/10 11:49:35.686
2,61,15360,13731,1198,2023/11/10 11:49:35.689
3,60,15360,13731,1198,2023/11/10 11:49:35.691
0,47,15360,12987,1942,2023/11/10 11:50:05.808
1,51,15360,13721,1208,2023/11/10 11:50:05.811
2,31,15360,13731,1198,2023/11/10 11:50:05.815
3,33,15360,13731,1198,2023/11/10 11:50:05.818
